Date,Day of week,Temperature (°C),Humidity (%),Weather condition,Previous electricity consumption (kWh),Previous day's consumption (kWh),Previous week's consumption (kWh),Month,Weekend/weekday,Number of people at home,Appliance usage (kWh)
2025-01-01,Wednesday,25.6,68.3,Pleasant,8.29,,,January,Weekday,6,18.0
2025-01-02,Thursday,22.9,65.9,Pleasant,9.73,,,January,Weekday,7,18.0
2025-01-03,Friday,26.5,66.8,Cloudy,8.57,,,January,Weekday,4,18.0
2025-01-04,Saturday,26.9,73.6,Cloudy,8.7,,,January,Weekend,2,18.0
2025-01-05,Sunday,21.1,71.4,Pleasant,6.63,,,January,Weekend,4,18.0
2025-01-06,Monday,22.4,75.5,Pleasant,6.83,,,January,Weekday,4,18.0
2025-01-07,Tuesday,25.3,68.1,Pleasant,7.72,,,January,Weekday,4,18.0
2025-01-08,Wednesday,24.4,65.6,Pleasant,7.74,7.72,8.29,January,Weekday,3,18.0
2025-01-09,Thursday,25.0,68.1,Pleasant,8.03,7.74,9.73,January,Weekday,5,18.0
2025-01-10,Friday,23.3,70.5,Pleasant,8.46,8.03,8.57,January,Weekday,5,18.0
2025-01-11,Saturday,26.8,70.3,Cloudy,8.45,8.46,8.7,January,Weekend,3,18.0
2025-01-12,Sunday,26.6,64.1,Cloudy,10.02,8.45,6.63,January,Weekend,5,18.0
2025-01-13,Monday,25.1,70.1,Pleasant,8.42,10.02,6.83,January,Weekday,6,18.0
2025-01-14,Tuesday,27.3,71.0,Cloudy,9.44,8.42,7.72,January,Weekday,4,18.0
2025-01-15,Wednesday,25.9,82.5,Rainy,9.86,9.44,7.74,January,Weekday,4,18.0
2025-01-16,Thursday,23.3,79.5,Pleasant,7.1,9.86,8.03,January,Weekday,4,18.0
2025-01-17,Friday,25.7,66.0,Pleasant,8.66,7.1,8.46,January,Weekday,5,18.0
2025-01-18,Saturday,23.1,68.9,Pleasant,5.36,8.66,8.45,January,Weekend,2,18.0
2025-01-19,Sunday,26.8,63.2,Cloudy,9.32,5.36,10.02,January,Weekend,4,18.0
2025-01-20,Monday,24.9,67.7,Pleasant,6.45,9.32,8.42,January,Weekday,4,18.0
2025-01-21,Tuesday,24.6,72.3,Pleasant,8.4,6.45,9.44,January,Weekday,6,18.0
2025-01-22,Wednesday,23.6,76.9,Pleasant,7.51,8.4,9.86,January,Weekday,4,18.0
2025-01-23,Thursday,27.4,67.4,Cloudy,11.6,7.51,7.1,January,Weekday,6,18.0
2025-01-24,Friday,24.7,67.9,Pleasant,9.2,11.6,8.66,January,Weekday,3,18.0
2025-01-25,Saturday,24.1,60.6,Pleasant,8.26,9.2,5.36,January,Weekend,5,18.0
2025-01-26,Sunday,24.3,70.6,Pleasant,9.57,8.26,9.32,January,Weekend,4,18.0
2025-01-27,Monday,26.1,66.3,Cloudy,7.87,9.57,6.45,January,Weekday,3,18.0
2025-01-28,Tuesday,25.7,69.1,Pleasant,8.16,7.87,8.4,January,Weekday,4,18.0
2025-01-29,Wednesday,25.8,67.5,Pleasant,9.34,8.16,7.51,January,Weekday,5,18.0
