Datetime,Global_active_power_sum,Global_active_power_mean,Global_active_power_max,Global_active_power_min,Global_active_power_std,Global_reactive_power_mean,Voltage_mean,Global_intensity_mean,Sub_metering_1,Sub_metering_2,Sub_metering_3,Daily_energy_kWh,Sub_metering_remainder,date,day,day_of_week,day_name,is_weekend,month,month_name,year,quarter,day_of_year,Lag_1_kWh,Lag_7_kWh,Rolling_Mean_7
2006-12-16,1209.176,3.0534747474747475,7.706,0.284,1.0263378212904992,0.08818686868686867,236.24376262626262,13.082828282828283,0.0,546.0,4926.0,20.152933333333333,14680.933333333334,2006-12-16,16,5,Saturday,1,12,Dec,2006,4,350,20.152933333333333,20.152933333333333,20.152933333333333
2006-12-17,3390.46,2.354486111111111,7.064,0.206,1.2057954435344829,0.1569486111111111,240.0870277777778,9.999027777777778,2033.0,4187.0,13341.0,56.507666666666665,36946.666666666664,2006-12-17,17,6,Sunday,1,12,Dec,2006,4,351,20.152933333333333,20.152933333333333,38.3303
2006-12-18,2203.826,1.5304347222222223,6.158,0.202,1.0050741549206366,0.11235555555555556,241.23169444444446,6.421666666666667,1063.0,2621.0,14018.0,36.73043333333333,19028.433333333327,2006-12-18,18,0,Monday,0,12,Dec,2006,4,352,56.507666666666665,20.152933333333333,37.79701111111111
2006-12-19,1666.194,1.1570791666666667,7.84,0.194,1.23760241627707,0.10482083333333334,241.9993125,4.926388888888889,839.0,7602.0,6197.0,27.7699,13131.900000000001,2006-12-19,19,1,Tuesday,0,12,Dec,2006,4,353,36.73043333333333,20.152933333333333,35.29023333333333
2006-12-20,2225.748,1.5456583333333334,5.988,0.202,1.3209679795468874,0.11180416666666666,242.30806249999998,6.467361111111111,0.0,2648.0,14063.0,37.095800000000004,20384.800000000003,2006-12-20,20,2,Wednesday,0,12,Dec,2006,4,354,27.7699,20.152933333333333,35.65134666666667
2006-12-21,1717.114,1.1924402777777778,5.854,0.194,0.9933702942045325,0.10011527777777778,241.0419027777778,5.028194444444445,1765.0,2623.0,10421.0,28.618566666666666,13809.566666666666,2006-12-21,21,3,Thursday,0,12,Dec,2006,4,355,37.095800000000004,20.152933333333333,34.479216666666666
2006-12-22,2341.338,1.6259291666666669,7.884,0.202,1.436179939204263,0.12979583333333333,241.1845486111111,6.872916666666667,3151.0,350.0,11131.0,39.0223,24390.300000000003,2006-12-22,22,4,Friday,0,12,Dec,2006,4,356,28.618566666666666,20.152933333333333,35.12822857142857
2006-12-23,4773.386,3.314851388888889,8.698,0.208,1.5032763052392701,0.15379861111111112,240.1360763888889,14.028055555555557,2669.0,425.0,14726.0,79.55643333333335,61736.43333333335,2006-12-23,23,5,Saturday,1,12,Dec,2006,4,357,39.0223,20.152933333333333,43.61444285714286
2006-12-24,2550.012,1.7708416666666669,6.824,0.196,1.2753698232947774,0.10409722222222223,241.6874375,7.640416666666667,1703.0,5082.0,6891.0,42.5002,28824.199999999997,2006-12-24,24,6,Sunday,1,12,Dec,2006,4,358,79.55643333333335,56.507666666666665,41.61337619047619
2006-12-25,2743.12,1.9049444444444443,6.702,0.198,1.4257552983044437,0.1668611111111111,243.39993055555558,7.951527777777779,6620.0,1962.0,5795.0,45.718666666666664,31341.666666666664,2006-12-25,25,0,Monday,0,12,Dec,2006,4,359,42.5002,36.73043333333333,42.89740952380953
2006-12-26,3934.11,2.7320208333333333,6.496,0.418,0.9575494766645732,0.11465416666666667,241.6254375,11.347916666666666,1086.0,2533.0,14979.0,65.5685,46970.5,2006-12-26,26,1,Tuesday,0,12,Dec,2006,4,360,45.718666666666664,27.7699,48.29720952380952
2006-12-27,1528.76,1.0616388888888888,5.56,0.21,0.8255954029902615,0.12423749999999999,243.76736111111111,4.5175,0.0,314.0,6976.0,25.479333333333333,18189.333333333332,2006-12-27,27,2,Wednesday,0,12,Dec,2006,4,361,65.5685,37.095800000000004,46.63771428571429
2006-12-28,2072.638,1.4393319444444443,9.132,0.218,1.4362921419326407,0.14505277777777778,243.26833333333335,6.086250000000001,2207.0,4419.0,9176.0,34.54396666666666,18741.96666666666,2006-12-28,28,3,Thursday,0,12,Dec,2006,4,362,25.479333333333333,28.618566666666666,47.4842
2006-12-29,3174.392,2.204438888888889,7.238,0.216,1.313412920632707,0.13638472222222223,240.87130555555555,9.271388888888888,1252.0,5162.0,11329.0,52.90653333333333,35163.533333333326,2006-12-29,29,4,Friday,0,12,Dec,2006,4,363,34.54396666666666,39.0223,49.4676619047619
2006-12-30,2802.336,1.9460666666666666,9.078,0.204,1.7485844906606818,0.21716666666666667,240.53597222222223,8.318888888888889,3147.0,7938.0,12515.0,46.7056,23105.6,2006-12-30,30,5,Saturday,1,12,Dec,2006,4,364,52.90653333333333,79.55643333333335,44.7746857142857
2006-12-31,3494.196,2.426525,6.722,0.206,1.1642050770809431,0.10475833333333334,239.8965763888889,10.199583333333333,0.0,347.0,6502.0,58.236599999999996,51387.6,2006-12-31,31,6,Sunday,1,12,Dec,2006,4,365,46.7056,42.5002,47.02274285714286
2007-01-01,2749.004,1.9090305555555556,3.558,0.204,0.9120673043449209,0.10289305555555556,240.12897916666665,7.916944444444444,0.0,352.0,5880.0,45.81673333333333,39584.73333333333,2007-01-01,1,0,Monday,0,1,Jan,2007,1,1,58.236599999999996,45.718666666666664,47.03675238095237
2007-01-02,1269.236,0.8814138888888889,3.688,0.358,0.702746183396342,0.13218194444444445,241.94377777777777,3.7140277777777775,0.0,348.0,6562.0,21.153933333333335,14243.933333333334,2007-01-02,2,1,Tuesday,0,1,Jan,2007,1,2,45.81673333333333,65.5685,40.69181428571428
2007-01-03,1014.054,0.7042041666666666,5.19,0.23,0.562507154444502,0.13661666666666666,243.5570902777778,3.0140277777777778,0.0,344.0,4765.0,16.9009,11791.900000000001,2007-01-03,3,2,Wednesday,0,1,Jan,2007,1,3,21.153933333333335,25.479333333333333,39.46632380952381
2007-01-04,3259.412,2.2634805555555553,5.976,0.26,1.16080006300786,0.1404875,239.7502986111111,9.478194444444444,1051.0,7597.0,10896.0,54.32353333333333,34779.53333333333,2007-01-04,4,3,Thursday,0,1,Jan,2007,1,4,16.9009,34.54396666666666,42.291976190476184
2007-01-05,2713.364,1.8842805555555555,5.73,0.222,1.0255427941793696,0.12024583333333333,240.49576388888892,7.885138888888889,1483.0,379.0,7602.0,45.22273333333333,35758.73333333333,2007-01-05,5,4,Friday,0,1,Jan,2007,1,5,54.32353333333333,52.90653333333333,41.194290476190474
2007-01-06,1508.378,1.047484722222222,8.044,0.234,0.9631602971114509,0.13346388888888888,239.67305555555555,4.543888888888889,1336.0,402.0,5678.0,25.139633333333332,17723.63333333333,2007-01-06,6,5,Saturday,1,1,Jan,2007,1,6,45.22273333333333,46.7056,38.113438095238095
2007-01-07,2447.62,1.6997361111111111,7.774,0.24,1.6683028431485156,0.17088472222222223,240.90248611111113,7.282638888888889,1987.0,8177.0,12810.0,40.79366666666667,17819.666666666664,2007-01-07,7,6,Sunday,1,1,Jan,2007,1,7,25.139633333333332,58.236599999999996,35.62159047619048
2007-01-08,2241.36,1.5565,4.97,0.216,0.9102043970863523,0.14414444444444446,239.5769513888889,6.551666666666667,0.0,467.0,17547.0,37.356,19342.0,2007-01-08,8,0,Monday,0,1,Jan,2007,1,8,40.79366666666667,45.81673333333333,34.41291428571429
2007-01-09,1869.054,1.2979541666666667,8.67,0.202,1.2559920993228828,0.14392222222222223,240.48752083333335,5.521111111111111,1688.0,4267.0,9790.0,31.1509,15405.900000000001,2007-01-09,9,1,Tuesday,0,1,Jan,2007,1,9,37.356,21.153933333333335,35.84105238095238
2007-01-10,2154.8,1.496388888888889,6.836,0.212,1.2914481935287252,0.15864722222222222,241.02745138888892,6.357777777777779,771.0,4456.0,11012.0,35.913333333333334,19674.333333333336,2007-01-10,10,2,Wednesday,0,1,Jan,2007,1,10,31.1509,16.9009,38.557114285714285
2007-01-11,2255.194,1.5661069444444444,7.754,0.21,1.484719248333794,0.1597361111111111,241.1556875,6.658333333333333,1378.0,2170.0,12415.0,37.58656666666666,21623.566666666666,2007-01-11,11,3,Thursday,0,1,Jan,2007,1,11,35.913333333333334,54.32353333333333,36.16611904761904
2007-01-12,1461.296,1.014788888888889,6.478,0.206,0.9285887817857009,0.13829166666666665,241.53820833333336,4.309166666666666,0.0,439.0,8276.0,24.354933333333335,15639.933333333334,2007-01-12,12,4,Friday,0,1,Jan,2007,1,12,37.58656666666666,45.22273333333333,33.18500476190476
2007-01-13,3186.814,2.2130652777777775,9.272,0.212,1.9013055099110159,0.2019,239.28361111111113,9.453055555555554,7806.0,2975.0,11341.0,53.113566666666664,30991.566666666666,2007-01-13,13,5,Saturday,1,1,Jan,2007,1,13,24.354933333333335,25.139633333333332,37.18128095238096
2007-01-14,3011.029,2.090992361111111,7.64,0.202,1.3837106076802297,0.15790069444444446,238.81780555555557,8.971666666666668,1777.0,4215.0,12991.5,50.183816666666665,31200.316666666666,2007-01-14,14,6,Sunday,1,1,Jan,2007,1,14,53.113566666666664,40.79366666666667,38.52273095238095
2007-01-15,2148.678,1.4921375,5.896,0.208,0.9610469913121188,0.12143055555555557,241.2409097222222,6.261527777777778,1099.0,2239.0,15163.0,35.811299999999996,17310.299999999996,2007-01-15,15,0,Monday,0,1,Jan,2007,1,15,50.183816666666665,37.356,38.302059523809525
2007-01-16,1686.404,1.1711138888888888,5.57,0.212,0.996140637902623,0.12876944444444444,241.94475694444446,4.975972222222222,2063.0,644.0,6583.0,28.106733333333334,18816.733333333334,2007-01-16,16,1,Tuesday,0,1,Jan,2007,1,16,35.811299999999996,31.1509,37.86717857142857
2007-01-17,2847.688,1.977561111111111,8.0,0.206,1.4381090691128076,0.13941111111111112,241.00525,8.283888888888889,3500.0,5737.0,16064.0,47.46146666666667,22160.466666666667,2007-01-17,17,2,Wednesday,0,1,Jan,2007,1,17,28.106733333333334,35.913333333333334,39.516911904761905
2007-01-18,1821.462,1.2649041666666667,6.808,0.212,1.0897883769725356,0.12341111111111111,240.89359722222224,5.3425,0.0,336.0,13491.0,30.3577,16530.7,2007-01-18,18,3,Thursday,0,1,Jan,2007,1,18,47.46146666666667,37.58656666666666,38.48421666666666
2007-01-19,1480.44,1.0280833333333335,6.132,0.198,0.9973114846221709,0.11809166666666666,240.16094444444445,4.37625,2103.0,330.0,7172.0,24.674,15069.0,2007-01-19,19,4,Friday,0,1,Jan,2007,1,19,30.3577,24.354933333333335,38.52979761904761
2007-01-20,3133.732,2.1762027777777777,8.658,0.218,1.5066381088692833,0.16552916666666667,238.8674722222222,9.348055555555556,4324.0,5222.0,11440.0,52.22886666666667,31242.86666666667,2007-01-20,20,5,Saturday,1,1,Jan,2007,1,20,24.674,53.113566666666664,38.40341190476191
2007-01-21,3407.262,2.366154166666667,8.018,0.206,1.8551407862702094,0.15953888888888887,238.96811805555558,10.190694444444444,10346.0,5567.0,11599.0,56.7877,29275.700000000004,2007-01-21,21,6,Sunday,1,1,Jan,2007,1,21,52.22886666666667,50.183816666666665,39.34682380952381
2007-01-22,2180.494,1.5142319444444445,7.722,0.212,1.234595759646174,0.1171125,241.60313194444444,6.355277777777778,1054.0,2983.0,11361.0,36.34156666666667,20943.566666666673,2007-01-22,22,0,Monday,0,1,Jan,2007,1,22,56.7877,35.811299999999996,39.42257619047619
2007-01-23,1777.64,1.2344722222222222,6.036,0.202,1.2269238580701172,0.09602777777777778,242.76255555555556,5.260833333333333,0.0,1064.0,5061.0,29.627333333333336,23502.333333333336,2007-01-23,23,1,Tuesday,0,1,Jan,2007,1,23,36.34156666666667,28.106733333333334,39.63980476190476
2007-01-24,2987.854,2.074898611111111,7.248,0.212,1.172317007860733,0.12365277777777778,241.45769444444446,8.733611111111111,3464.0,2480.0,11744.0,49.79756666666666,32109.56666666666,2007-01-24,24,2,Wednesday,0,1,Jan,2007,1,24,29.627333333333336,47.46146666666667,39.97353333333334
2007-01-25,1596.344,1.1085722222222223,5.832,0.206,0.9896069121153739,0.10011111111111111,243.42436111111112,4.629305555555556,1158.0,262.0,11239.0,26.605733333333333,13946.733333333334,2007-01-25,25,3,Thursday,0,1,Jan,2007,1,25,49.79756666666666,30.3577,39.4375380952381
2007-01-26,1617.972,1.1235916666666665,5.024,0.208,0.902378535578748,0.09923749999999999,242.77179166666667,4.721388888888889,1163.0,261.0,8238.0,26.9662,17304.2,2007-01-26,26,4,Friday,0,1,Jan,2007,1,26,26.605733333333333,24.674,39.76499523809524
2007-01-27,2044.072,1.4194944444444444,6.204,0.214,1.1191024895776895,0.10294583333333332,241.61656944444442,5.949861111111111,1170.0,3896.0,12374.0,34.06786666666667,16627.86666666667,2007-01-27,27,5,Saturday,1,1,Jan,2007,1,27,26.9662,52.22886666666667,37.170566666666666
2007-01-28,3092.425,2.1475173611111114,7.552,0.224,1.3526013630155005,0.10668611111111112,240.30152083333334,9.133888888888889,3466.0,3997.5,12061.0,51.54041666666667,32015.91666666667,2007-01-28,28,6,Sunday,1,1,Jan,2007,1,28,34.06786666666667,56.7877,36.42095476190476
2007-01-29,1982.664,1.37685,4.908,0.222,0.933933443707787,0.11506666666666666,240.9295972222222,5.788888888888889,1123.0,294.0,15254.0,33.0444,16373.400000000001,2007-01-29,29,0,Monday,0,1,Jan,2007,1,29,51.54041666666667,36.34156666666667,35.94993095238095
2007-01-30,1707.798,1.1859708333333334,6.166,0.228,1.1651166165719002,0.1256486111111111,241.84087499999998,5.028194444444445,1123.0,1424.0,8149.0,28.4633,17767.3,2007-01-30,30,1,Tuesday,0,1,Jan,2007,1,30,33.0444,29.627333333333336,35.78364047619048
2007-01-31,2363.752,1.6414944444444444,6.59,0.226,1.2872800788324854,0.12915833333333332,239.92113194444443,6.923611111111111,0.0,5950.0,15052.0,39.39586666666666,18393.86666666666,2007-01-31,31,2,Wednesday,0,1,Jan,2007,1,31,28.4633,49.79756666666666,34.29768333333333
2007-02-01,1824.76,1.2671944444444445,7.482,0.222,1.107042024571097,0.10435000000000001,240.3921388888889,5.3325000000000005,1170.0,386.0,13145.0,30.412666666666667,15711.666666666668,2007-02-01,1,3,Thursday,0,2,Feb,2007,1,32,39.39586666666666,26.605733333333333,34.84153095238095
